time,poa_global,poa_direct,poa_diffuse,temp_air,wind_speed
2020-01-01 00:10:00,0.0,0.0,0.0,1.82,3.1
2020-01-01 01:10:00,0.0,0.0,0.0,1.46,2.9
2020-01-01 02:10:00,0.0,0.0,0.0,1.05,2.97
2020-01-01 03:10:00,0.0,0.0,0.0,0.56,3.17
2020-01-01 04:10:00,0.0,0.0,0.0,0.2,3.1
2020-01-01 05:10:00,0.0,0.0,0.0,0.21,2.97
2020-01-01 06:10:00,0.0,0.0,0.0,0.02,3.03
2020-01-01 07:10:00,0.0,0.0,0.0,0.38,3.52
2020-01-01 08:10:00,127.97,97.43,30.53,0.25,3.59
2020-01-01 09:10:00,132.43,55.13,77.3,0.9,3.45
2020-01-01 10:10:00,116.34,23.98,92.36,1.86,3.66
2020-01-01 11:10:00,325.16,165.59,159.57000000000002,2.99,3.59
2020-01-01 12:10:00,573.98,397.49,176.49,3.96,3.24
2020-01-01 13:10:00,644.96,512.6,132.35,4.62,2.97
2020-01-01 14:10:00,413.39,308.57,104.81,4.46,2.69
2020-01-01 15:10:00,0.0,0.0,0.0,3.67,2.9
2020-01-01 16:10:00,0.0,0.0,0.0,2.4,3.03
2020-01-01 17:10:00,0.0,0.0,0.0,1.53,2.97
2020-01-01 18:10:00,0.0,0.0,0.0,0.94,2.97
2020-01-01 19:10:00,0.0,0.0,0.0,0.51,3.03
2020-01-01 20:10:00,0.0,0.0,0.0,0.22,2.97
2020-01-01 21:10:00,0.0,0.0,0.0,0.04,2.9
2020-01-01 22:10:00,0.0,0.0,0.0,-0.09,2.62
2020-01-01 23:10:00,0.0,0.0,0.0,-0.43,2.28
2020-01-02 00:10:00,0.0,0.0,0.0,-0.83,2.28
2020-01-02 01:10:00,0.0,0.0,0.0,-1.08,2.34
2020-01-02 02:10:00,0.0,0.0,0.0,-1.14,2.21
2020-01-02 03:10:00,0.0,0.0,0.0,-1.1,2.14
2020-01-02 04:10:00,0.0,0.0,0.0,-0.83,2.07
2020-01-02 05:10:00,0.0,0.0,0.0,-0.52,2.14
2020-01-02 06:10:00,0.0,0.0,0.0,-0.05,2.21
2020-01-02 07:10:00,0.0,0.0,0.0,-0.86,2.69
2020-01-02 08:10:00,36.29,17.56,18.73,-0.74,2.69
2020-01-02 09:10:00,88.81,25.32,63.489999999999995,0.54,2.48
2020-01-02 10:10:00,125.64,30.71,94.92999999999999,1.83,2.69
2020-01-02 11:10:00,629.58,459.81,169.78,2.65,2.97
2020-01-02 12:10:00,514.72,341.35,173.37,3.46,3.1
2020-01-02 13:10:00,111.46,24.42,87.04,3.84,3.38
2020-01-02 14:10:00,91.15,31.41,59.74,4.11,3.38
2020-01-02 15:10:00,0.0,0.0,0.0,3.89,3.45
2020-01-02 16:10:00,0.0,0.0,0.0,3.55,3.59
2020-01-02 17:10:00,0.0,0.0,0.0,3.84,3.66
2020-01-02 18:10:00,0.0,0.0,0.0,3.93,3.59
2020-01-02 19:10:00,0.0,0.0,0.0,3.73,3.38
2020-01-02 20:10:00,0.0,0.0,0.0,3.76,3.45
2020-01-02 21:10:00,0.0,0.0,0.0,4.06,3.59
2020-01-02 22:10:00,0.0,0.0,0.0,4.22,3.66
2020-01-02 23:10:00,0.0,0.0,0.0,4.54,3.79
2020-01-03 00:10:00,0.0,0.0,0.0,4.78,3.66
2020-01-03 01:10:00,0.0,0.0,0.0,5.2,3.45
