Latitude (decimal degrees):	50.941
Longitude (decimal degrees):	6.959
Elevation (m):	59
Radiation database:	PVGIS-SARAH2


Slope: 45 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,1.82,3.1,0.0
20200101:0110,0.0,0.0,1.46,2.9,0.0
20200101:0210,0.0,0.0,1.05,2.97,0.0
20200101:0310,0.0,0.0,0.56,3.17,0.0
20200101:0410,0.0,0.0,0.2,3.1,0.0
20200101:0510,0.0,0.0,0.21,2.97,0.0
20200101:0610,0.0,0.0,0.02,3.03,0.0
20200101:0710,0.0,0.0,0.38,3.52,0.0
20200101:0810,127.97,3.45,0.25,3.59,0.0
20200101:0910,132.43,9.48,0.9,3.45,0.0
20200101:1010,116.34,13.73,1.86,3.66,0.0
20200101:1110,325.16,15.85,2.99,3.59,0.0
20200101:1210,573.98,15.64,3.96,3.24,0.0
20200101:1310,644.96,13.12,4.62,2.97,0.0
20200101:1410,413.39,8.52,4.46,2.69,0.0
20200101:1510,0.0,0.0,3.67,2.9,0.0
20200101:1610,0.0,0.0,2.4,3.03,0.0
20200101:1710,0.0,0.0,1.53,2.97,0.0
20200101:1810,0.0,0.0,0.94,2.97,0.0
20200101:1910,0.0,0.0,0.51,3.03,0.0
20200101:2010,0.0,0.0,0.22,2.97,0.0
20200101:2110,0.0,0.0,0.04,2.9,0.0
20200101:2210,0.0,0.0,-0.09,2.62,0.0
20200101:2310,0.0,0.0,-0.43,2.28,0.0
20200102:0010,0.0,0.0,-0.83,2.28,0.0
20200102:0110,0.0,0.0,-1.08,2.34,0.0
20200102:0210,0.0,0.0,-1.14,2.21,0.0
20200102:0310,0.0,0.0,-1.1,2.14,0.0
20200102:0410,0.0,0.0,-0.83,2.07,0.0
20200102:0510,0.0,0.0,-0.52,2.14,0.0
20200102:0610,0.0,0.0,-0.05,2.21,0.0
20200102:0710,0.0,0.0,-0.86,2.69,0.0
20200102:0810,36.29,3.48,-0.74,2.69,0.0
20200102:0910,88.81,9.53,0.54,2.48,0.0
20200102:1010,125.64,13.79,1.83,2.69,0.0
20200102:1110,629.58,15.93,2.65,2.97,0.0
20200102:1210,514.72,15.74,3.46,3.1,0.0
20200102:1310,111.46,13.23,3.84,3.38,0.0
20200102:1410,91.15,8.64,4.11,3.38,0.0
20200102:1510,0.0,0.0,3.89,3.45,0.0
20200102:1610,0.0,0.0,3.55,3.59,0.0
20200102:1710,0.0,0.0,3.84,3.66,0.0
20200102:1810,0.0,0.0,3.93,3.59,0.0
20200102:1910,0.0,0.0,3.73,3.38,0.0
20200102:2010,0.0,0.0,3.76,3.45,0.0
20200102:2110,0.0,0.0,4.06,3.59,0.0
20200102:2210,0.0,0.0,4.22,3.66,0.0
20200102:2310,0.0,0.0,4.54,3.79,0.0
20200103:0010,0.0,0.0,4.78,3.66,0.0
20200103:0110,0.0,0.0,5.2,3.45,0.0
20200103:0210,0.0,0.0,5.52,3.45,0.0
20200103:0310,0.0,0.0,5.8,3.45,0.0
20200103:0410,0.0,0.0,5.94,3.45,0.0
20200103:0510,0.0,0.0,5.98,3.45,0.0
20200103:0610,0.0,0.0,6.03,3.52,0.0
20200103:0710,0.0,0.0,6.8,4.07,0.0
20200103:0810,134.16,3.51,7.05,4.21,0.0
20200103:0910,17.64,9.57,7.4,4.34,0.0
20200103:1010,48.51,13.86,7.83,4.83,0.0
20200103:1110,59.98,16.01,8.2,5.17,0.0
20200103:1210,43.22,15.84,8.62,5.31,0.0
20200103:1310,30.87,13.35,9.14,5.52,0.0
20200103:1410,8.82,8.77,9.16,5.52,0.0
20200103:1510,1.76,2.47,9.02,5.79,0.0
20200103:1610,0.0,0.0,8.8,6.14,0.0
20200103:1710,0.0,0.0,8.72,6.41,0.0
20200103:1810,0.0,0.0,8.32,6.07,0.0
20200103:1910,0.0,0.0,7.68,5.17,0.0
20200103:2010,0.0,0.0,6.69,4.83,0.0
20200103:2110,0.0,0.0,6.1,4.41,0.0
20200103:2210,0.0,0.0,5.48,4.0,0.0
20200103:2310,0.0,0.0,4.85,3.03,0.0
20200104:0010,0.0,0.0,4.25,2.76,0.0
20200104:0110,0.0,0.0,3.96,2.9,0.0
20200104:0210,0.0,0.0,3.78,3.1,0.0
20200104:0310,0.0,0.0,3.12,3.17,0.0
20200104:0410,0.0,0.0,2.55,3.38,0.0
20200104:0510,0.0,0.0,2.59,3.59,0.0
20200104:0610,0.0,0.0,2.96,3.93,0.0
20200104:0710,0.0,0.0,3.43,4.07,0.0
20200104:0810,76.37,3.55,3.75,4.41,0.0
20200104:0910,88.37,9.63,4.06,4.76,0.0
20200104:1010,89.07,13.93,4.44,5.38,0.0
20200104:1110,79.58,16.11,4.79,5.45,0.0
20200104:1210,113.78,15.95,4.87,5.59,0.0
20200104:1310,122.31,13.47,5.14,5.38,0.0
20200104:1410,37.05,8.9,5.33,5.17,0.0
20200104:1510,22.47,2.61,5.53,5.38,0.0
20200104:1610,0.0,0.0,5.66,5.38,0.0
20200104:1710,0.0,0.0,5.8,5.24,0.0
20200104:1810,0.0,0.0,5.85,5.1,0.0
20200104:1910,0.0,0.0,5.78,4.69,0.0
20200104:2010,0.0,0.0,5.76,4.28,0.0
20200104:2110,0.0,0.0,5.68,3.86,0.0
20200104:2210,0.0,0.0,5.59,3.38,0.0
20200104:2310,0.0,0.0,5.48,2.9,0.0
20200105:0010,0.0,0.0,5.43,2.76,0.0
20200105:0110,0.0,0.0,5.4,2.62,0.0
20200105:0210,0.0,0.0,5.39,2.41,0.0
20200105:0310,0.0,0.0,5.43,2.28,0.0
20200105:0410,0.0,0.0,5.45,2.28,0.0
20200105:0510,0.0,0.0,5.45,2.48,0.0
20200105:0610,0.0,0.0,5.4,2.62,0.0
20200105:0710,0.0,0.0,5.02,2.07,0.0
20200105:0810,11.47,3.59,4.84,1.79,0.0
20200105:0910,39.69,9.69,4.97,1.66,0.0
20200105:1010,42.34,14.01,5.87,2.55,0.0
20200105:1110,21.17,16.21,6.12,2.48,0.0
20200105:1210,48.51,16.07,6.54,2.48,0.0
20200105:1310,43.22,13.6,6.75,2.41,0.0
20200105:1410,22.05,9.04,6.65,2.07,0.0
20200105:1510,2.65,2.76,6.48,1.93,0.0
20200105:1610,0.0,0.0,5.65,1.86,0.0
20200105:1710,0.0,0.0,5.29,1.86,0.0
20200105:1810,0.0,0.0,4.81,2.0,0.0
20200105:1910,0.0,0.0,4.85,1.79,0.0
20200105:2010,0.0,0.0,4.09,1.93,0.0
20200105:2110,0.0,0.0,3.79,1.79,0.0
